[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
3.44046783e+000, 4.81550598e+000, 2.38571991e+002, 1.13955396e+003
3.35270691e+000, 5.42160034e+000, 2.38730270e+002, 4.59961304e+002
1.24637604e+001, 1.87699738e+001, 3.21305504e+001, 1.25943164e+003
1.26792984e+001, 1.85480652e+001, 3.22959328e+001, 2.31360580e+002
1.20922852e+001, 1.84267693e+001, 3.22906914e+001, -5.02075928e+002
0.00000000e+000, 1.87756062e+001, 3.18817387e+001, 2.43552271e+003
3.75058746e+000, 4.49018097e+000, 2.43890900e+002, -6.53477295e+002
3.33179474e+000, 4.36027145e+000, 2.44300003e+002, -5.14104919e+001
3.46996307e+000, 4.43511963e+000, 2.43727142e+002, 8.87476196e+002
3.74176025e+000, 5.01510620e+000, 2.43997467e+002, -1.09272229e+003
3.55949402e+000, 4.79896927e+000, 2.43991333e+002, -9.52962524e+002
2.35720062e+000, -1.41961975e+001, 2.41105148e+002, -1.26044518e+002
2.38002777e+000, -1.38221169e+001, 2.40689102e+002, 1.54417493e+003
2.29496002e+000, -1.36746902e+001, 2.41078049e+002, 9.72297485e+002
-1.36579132e+000, -1.48232422e+001, 6.17093124e+001, 1.52610559e+003
-9.40231323e-001, -1.49374084e+001, 6.17661743e+001, 1.44917188e+003
-1.21458435e+000, -1.45628357e+001, 6.17659683e+001, 2.22721973e+003
-1.49726868e+000, -1.50497437e+001, 6.20082321e+001, 1.38625903e+003
-1.88229370e+000, -1.49036255e+001, 6.17424431e+001, 1.70052490e+003
-2.19909668e+000, -1.51859741e+001, 2.43074127e+002, 5.20184570e+002
-2.36635590e+000, -1.50938187e+001, 2.43257187e+002, 2.89535919e+002
-2.40734863e+000, -1.46900787e+001, 2.43076218e+002, 3.48552063e+002
-2.54537964e+000, -1.48936005e+001, 2.43128769e+002, 6.38161865e+002
-2.62706757e+000, -1.44533157e+001, 2.42905411e+002, 9.12406555e+002
1.72480774e+000, -1.96019897e+001, 2.45195068e+002, 7.21827087e+002
1.96290588e+000, -1.95545578e+001, 2.45221069e+002, 1.38189102e+002
1.98253632e+000, -2.00683594e+001, 2.45377563e+002, 1.70545380e+002
2.13784790e+000, -1.91046829e+001, 2.44824295e+002, 6.42947769e+001
1.93900299e+000, -1.90038452e+001, 2.44998352e+002, 2.50643646e+002
1.69686508e+001, -1.85459366e+001, 3.22964096e+001, 9.86525757e+002
1.72498932e+001, -1.87747192e+001, 3.21204948e+001, 1.01955182e+003
1.67842789e+001, -1.87185669e+001, 3.22054443e+001, 1.34020679e+003
1.66090240e+001, -1.83970871e+001, 3.22817764e+001, 1.67196912e+003
